Year,Time,Forest type,Site #,Site name,Plant Species,Plot #,Cage,Treatment,Height (cm),Leaf1.L,Leaf 2.L,Leaf 3.L,Leaf 4.L,Leaf 5.L,Leaf 6.L,Leaf7.L,Leaf8.L,Leaf9.L,Leaf10.L,Leaf1.Area,Leaf2.Area,Leaf3.Area,Leaf4.Area,Leaf5.Area,Leaf6.Area,Leaf7.Area,Leaf8.Area,Leaf9.Area,Leaf10.Area,Total.LA,leaf.dw.g
2007,1,N,2,Sand 3,C,44,CO,FE,4.5,5.6,5.6,,,,,,,,,11.99856558,11.99856558,0,0,0,0,0,0,0,0,24,55.2
2007,1,N,2,Sand 3,C,45,CA,CA,2.9,4.9,4.9,,,,,,,,,9.819234187,9.819234187,0,0,0,0,0,0,0,0,19.6,54.2
2007,1,N,2,Sand 3,C,46,CA,CF,7.2,9.1,9.2,,,,,,,,,24.8680262,25.27936671,0,0,0,0,0,0,0,0,50.1,60.9
2007,1,N,2,Sand 3,C,47,CO,PC,4.2,6.7,6.6,,,,,,,,,15.70526138,15.35471231,0,0,0,0,0,0,0,0,31.1,56.7
2007,1,N,2,Sand 3,C,48,CO,CO,3.5,22.4,23,18.2,18.2,10,10,,,,,96.1350115,100.0262384,70.39104989,70.39104989,28.64997731,28.64997731,0,0,0,0,394.2,136.6
2007,1,N,2,Sand 3,C,49,CO,FE,3.4,7.4,7.3,,,,,,,,,18.23173572,17.86315751,0,0,0,0,0,0,0,0,36.1,57.8
2007,1,N,2,Sand 3,C,50,CA,CA,3,NL,,,,,,,,,,3,,,,,,,,,,3,50.6
2007,1,N,3,East 2,C,51,CA,CF,7.1,18.4,19,13.5,13,,,,,,,71.55538395,75.08640519,44.95399596,42.4780575,0,0,0,0,0,0,234.1,101.4
2007,1,N,3,East 2,C,52,CO,PC,5,8.5,,,,,,,,,,22.44786447,0,0,0,0,0,0,0,0,0,22.4,54.8
2007,1,N,3,East 2,C,53,CO,CO,3,14.6,14.5,17.5,17.5,,,,,,,50.56317703,50.04420454,66.36646676,66.36646676,0,0,0,0,0,0,233.3,101.2
2007,1,N,3,East 2,C,54,CO,FE,8.6,12.9,13,,,,,,,,,41.98851317,42.4780575,0,0,0,0,0,0,0,0,84.5,68.5
2007,1,N,3,East 2,C,55,CA,CA,10.7,12.5,12.5,,,,,,,,,40.04938974,40.04938974,0,0,0,0,0,0,0,0,80.1,67.5
2007,1,N,3,East 2,C,56,CA,CF,2.2,4.4,4.3,,,,,,,,,8.354319782,8.070933722,0,0,0,0,0,0,0,0,16.4,53.5
2007,1,N,3,East 2,C,57,CO,PC,4.4,7.5,7.5,,,,,,,,,18.60281832,18.60281832,0,0,0,0,0,0,0,0,37.2,58.1
2007,1,N,3,East 2,C,58,CO,CO,4,8.2,8.2,9,9,,,,,,,21.26915597,21.26915597,24.45894459,24.45894459,0,0,0,0,0,0,91.5,70
2007,1,N,3,East 2,C,59,CO,FE,7.1,13,13,,,,,,,,,42.4780575,42.4780575,0,0,0,0,0,0,0,0,85,68.6
2007,1,N,3,East 2,C,60,CA,CA,2.8,5,5,,,,,,,,,10.12157636,10.12157636,0,0,0,0,0,0,0,0,20.2,54.3
2007,1,N,3,East 2,C,61,CA,CF,2.6,4,3.9,,,,,,,,,7.240632999,6.970619292,0,0,0,0,0,0,0,0,14.2,53
2007,1,N,3,East 2,C,62,CO,PC,3.7,NL,,,,,,,,,,3.7,,,,,,,,,,3.7,50.7
2007,1,N,3,East 2,C,63,CO,CO,5,7.4,7.4,,,,,,,,,18.23173572,18.23173572,0,0,0,0,0,0,0,0,36.5,57.9
2007,1,N,3,East 2,C,64,CO,FE,3,NL,,,,,,,,,,3,,,,,,,,,,3,50.6
2007,1,N,3,East 2,C,65,CA,CA,4.3,5.5,5.5,,,,,,,,,11.67838304,11.67838304,0,0,0,0,0,0,0,0,23.4,55
2007,1,N,3,East 2,C,66,CA,CF,3.2,NL,,,,,,,,,,3.2,,,,,,,,,,3.2,50.6
2007,1,N,3,East 2,C,67,CO,PC,6.1,7.5,,,,,,,,,,18.60281832,0,0,0,0,0,0,0,0,0,18.6,54
2007,1,N,3,East 2,C,68,CO,CO,1.2,NL,,,,,,,,,,1.2,,,,,,,,,,1.2,50.2
2007,1,N,3,East 2,C,69,CO,FE,3.3,,,,,,,,,,,3.3,,,,,,,,,,3.3,50.6
2007,1,N,3,East 2,C,70,CA,CA,4.3,18.5,18.8,19,19,,,,,,,72.13993784,73.90309553,75.08640519,75.08640519,0,0,0,0,0,0,296.2,115.1
2007,1,N,3,East 2,C,71,CA,CF,7,14.2,14.2,,,,,,,,,48.49805437,48.49805437,0,0,0,0,0,0,0,0,97,71.2
2007,1,N,3,East 2,C,72,CO,PC,4.5,22.7,22.8,18,,,,,,,,98.07418245,98.72344028,69.23310981,0,0,0,0,0,0,0,266,108.4
2007,1,N,3,East 2,C,73,CO,CO,11,19.6,30.5,30.5,,,,,,,,78.67375355,152.7941656,152.7941656,0,0,0,0,0,0,0,384.3,134.4
2007,1,N,3,East 2,C,74,CO,FE,1.7,NL,,,,,,,,,,1.7,,,,,,,,,,1.7,50.3
2007,1,N,3,East 2,C,75,CA,CA,5.5,11.6,11.6,,,,,,,,,35.79992938,35.79992938,0,0,0,0,0,0,0,0,71.6,65.6
2007,1,N,4,East 4,C,76,CO,FE,2.5,NL,,,,,,,,,,2.5,,,,,,,,,,2.5,50.4
2007,1,N,4,East 4,C,77,CA,CA,4.3,NL,,,,,,,,,,4.3,,,,,,,,,,4.3,50.8
2007,1,N,4,East 4,C,78,CA,CF,3.9,8.1,8.2,,,,,,,,,20.88099282,21.26915597,0,0,0,0,0,0,0,0,42.2,59.2
2007,1,N,4,East 4,C,80,CO,CO,3.2,12.4,12.3,10.2,10,,,,,,,39.56940992,39.09136586,29.5144028,28.64997731,0,0,0,0,0,0,136.8,80
2007,1,N,4,East 4,C,81,CO,FE,2,11.9,12,9,9,9,,,,,,37.19870543,37.66892711,24.45894459,24.45894459,24.45894459,0,0,0,0,0,148.2,82.5
2007,1,N,4,East 4,C,82,CA,CA,4,5,5,,,,,,,,,10.12157636,10.12157636,0,0,0,0,0,0,0,0,20.2,54.3
2007,1,N,4,East 4,C,83,CA,CF,3.6,6,11,11,,,,,,,,13.30782632,33.05665018,33.05665018,0,0,0,0,0,0,0,79.4,67.4
2007,1,N,4,East 4,C,85,CO,CO,10,16.8,,,,,,,,,,62.4217651,0,0,0,0,0,0,0,0,0,62.4,63.6
2007,1,N,4,East 4,C,86,CO,FE,7.1,14.1,,,,,,,,,,47.98628094,0,0,0,0,0,0,0,0,0,48,60.4
2007,1,N,4,East 4,C,87,CA,CA,5,14,20,20,,,,,,,,47.47632309,81.09618212,81.09618212,0,0,0,0,0,0,0,209.7,96
2007,1,N,4,East 4,C,88,CA,CF,5.5,11.3,,,,,,,,,,34.41916528,0,0,0,0,0,0,0,0,0,34.4,57.5
2007,1,N,4,East 4,C,90,CO,CO,1.2,NL,,,,,,,,,,1.2,,,,,,,,,,1.2,50.2
2007,1,N,4,East 4,C,91,CO,FE,6,6.2,,,,,,,,,,13.97923634,0,0,0,0,0,0,0,0,0,14,53
2007,1,N,4,East 4,C,92,CA,CA,2,NL,,,,,,,,,,2,,,,,,,,,,2,50.3
2007,1,N,4,East 4,C,93,CA,CF,1.3,NL,,,,,,,,,,1.3,,,,,,,,,,1.3,50.2
