Type,Site,Year,Eradication,Mature.Intact,Immature.Intact,Immature.Rotten,Mature.Rotten,Immature.Predated,Mature.Predated
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,1,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,2,0
Cocos,Holei 1,2015,post,0,0,0,1,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,1,0,0
Cocos,Holei 1,2015,post,1,0,0,3,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,1,0,0,4,0,0
Cocos,Holei 1,2015,post,0,0,0,3,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,1,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,2,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,3,0,0
Cocos,Kaula 1,2015,post,0,0,0,1,0,0
Cocos,Kaula 1,2015,post,0,0,0,1,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,1,0,0,4,0,0
Cocos,Kaula 1,2015,post,1,0,0,1,0,0
Cocos,Kaula 1,2015,post,0,0,0,5,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,1,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,1,0,0,1,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Kaula 1,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,1,0,0,3,0,0
Cocos,Papala,2015,post,1,0,0,2,0,0
Cocos,Papala,2015,post,1,0,0,1,0,0
Cocos,Papala,2015,post,0,0,0,1,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,1,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,1,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,1,0,0
Cocos,Papala,2015,post,0,0,0,1,0,0
Cocos,Papala,2015,post,4,0,0,8,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,1,0,0,1,0,0
Cocos,Papala,2015,post,1,0,0,1,1,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,1,0,0,0,1,0
Cocos,Papala,2015,post,1,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Cocos,Papala,2015,post,3,0,0,3,0,0
Cocos,Papala,2015,post,0,0,0,6,0,0
Cocos,Papala,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,1,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,2,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,2,0,0,2,0,0
Mixed,Paradise 1,2015,post,0,0,0,2,0,0
Mixed,Paradise 1,2015,post,0,0,0,2,0,0
Mixed,Paradise 1,2015,post,1,0,0,1,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,1,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,3,0,0,0,0,0
Mixed,Paradise 1,2015,post,1,0,0,0,0,0
Mixed,Paradise 1,2015,post,3,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,1,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,1,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Paradise 1,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,1,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,1,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,2
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Eastern,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,5,0,0
Mixed,Sand,2015,post,0,0,0,4,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,1,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,1,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,1,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Mixed,Sand,2015,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,6,0,0
Cocos,Holei 1,2016,post,0,0,0,8,0,0
Cocos,Holei 1,2016,post,0,0,0,3,0,0
Cocos,Holei 1,2016,post,1,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,1
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,2,0,0,1,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,1,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,1
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,1,0,0,1,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,1,0,0,0,0,1
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Holei 1,2016,post,0,0,0,1,0,0
Cocos,Holei 1,2016,post,0,0,0,3,0,0
Cocos,Holei 1,2016,post,0,0,0,4,0,1
Cocos,Holei 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
Cocos,Kaula 1,2016,post,0,0,0,0,0,0
